1964,Gladys Cooper,My Fair Lady,Mrs. Higgins
1964,Lila Kedrova Award winner,Zorba the Greek,Madame Hortense
1964,Edith Evans,The Chalk Garden,Mrs. St. Maugham
1965,Peggy Wood,The Sound of Music,"Virgilia, Mother Abbess"
1965,Ruth Gordon,Inside Daisy Clover,Mrs. Clover/The Dealer
1965,Shelley Winters Award winner,A Patch of Blue,Rose-ann D'Arcey
1965,Maggie Smith,Othello,Desdemona
1965,Joyce Redman,Othello,Emilia
1966,Geraldine Page,You're a Big Boy Now,Margery Chanticleer
1966,Vivien Merchant,Alfie,Lily Clamacraft
1966,Sandy Dennis Award winner,Who's Afraid of Virginia Woolf?,Honey
1966,Jocelyne LaGarde,Hawaii,Malama Kanakoa
1966,Wendy Hiller,A Man for All Seasons,Alice More
1967,Mildred Natwick,Barefoot in the Park,Ethel Banks
1967,Estelle Parsons Award winner,Bonnie and Clyde,Blanche Barrow
1967,Beah Richards,Guess Who's Coming to Dinner,Mary Prentice
1967,Katharine Ross,The Graduate,Elaine Robinson
1967,Carol Channing,Thoroughly Modern Millie,Muzzy van Hossmere
1968,Kay Medford,Funny Girl,Rose Stern Borach
1968,Ruth Gordon Award winner,Rosemary's Baby,Minnie Castevet
1968,Lynn Carlin,Faces,Maria Forst
1968,Sondra Locke,The Heart Is a Lonely Hunter,Mick Kelly
1968,Estelle Parsons,"Rachel, Rachel",Calla Mackie
1969,Sylvia Miles,Midnight Cowboy,Cass
1969,Dyan Cannon,Bob & Carol & Ted & Alice,Alice Henderson
1969,Susannah York,"They Shoot Horses, Don't They?",Alice LeBlanc
1969,Catherine Burns,Last Summer,Rhoda
1969,Goldie Hawn Award winner,Cactus Flower,Toni Simmons
1970,Karen Black,Five Easy Pieces,Rayette Dipesto
1970,Lee Grant,The Landlord,Joyce Enders
1970,Maureen Stapleton,Airport,Inez Guerrero
1970,Sally Kellerman,MASH,Margaret O'Houlihan
1970,Helen Hayes Award winner,Airport,Ada Quonsett
1971,Ann-Margret,Carnal Knowledge,Bobbie
1971,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,Allison Densmore
1971,Ellen Burstyn,The Last Picture Show,Lois Farrow
1971,Margaret Leighton,The Go-Between,Mrs. Maudsley
