1963,Natalie Wood,Love with the Proper Stranger,Angie Rossini
1964,Julie Andrews Award winner,Mary Poppins,Mary Poppins
1964,Anne Bancroft,The Pumpkin Eater,Jo Armitage
1964,Sophia Loren,Marriage Italian Style,Filumena Marturano
1964,Debbie Reynolds,The Unsinkable Molly Brown,Molly Brown
1964,Kim Stanley,S_ance on a Wet Afternoon,Myra Savage
1965,Julie Andrews,The Sound of Music,Maria von Trapp
1965,Julie Christie Award winner,Darling,Diana Scott
1965,Samantha Eggar,The Collector,Miranda Grey
1965,Elizabeth Hartman,A Patch of Blue,Selina D'Arcy
1965,Simone Signoret,Ship of Fools,La Contessa
1966,Anouk Aim_e,A Man and a Woman,Anne Gauthier
1966,Ida Kami_ska,The Shop on Main Street,Rozalie Lautmann
1966,Lynn Redgrave,Georgy Girl,Georgina 'Georgy' Parkin
1966,Vanessa Redgrave,Morgan!,Leonie Delt
1966,Elizabeth Taylor Award winner,Who's Afraid of Virginia Woolf?,Martha
1967,Anne Bancroft,The Graduate,Mrs. Robinson
1967,Faye Dunaway,Bonnie and Clyde,Bonnie Parker
1967,Edith Evans,The Whisperers,Maggie Ross
1967,Audrey Hepburn,Wait Until Dark,Susy Hendrix
1967,Katharine Hepburn Award winner,Guess Who's Coming to Dinner,Christina Drayton
1968,Katharine Hepburn Award winner[C],The Lion in Winter,Eleanor of Aquitaine
1968,Patricia Neal,The Subject was Roses,Nettie Cleary
1968,Vanessa Redgrave,Isadora,Isadora Duncan
1968,Barbra Streisand Award winner[C],Funny Girl,Fanny Brice
1968,Joanne Woodward,Rachel Rachel,Rachel Cameron
1969,Genevieve Bujold,Anne of the Thousand Days,Anne Boleyn
1969,Jane Fonda,They Shoot Horses Don't They?,Gloria Beatty
1969,Liza Minnelli,The Sterile Cuckoo,Mary Ann 'Pookie' Adams
1969,Jean Simmons,The Happy Ending,Mary Wilson
1969,Maggie Smith Award winner,The Prime of Miss Jean Brodie,Jean Brodie
1970,Jane Alexander,The Great White Hope,Eleanor Backman
1970,Glenda Jackson Award winner,Women in Love,Gudrun Brangwen
1970,Ali MacGraw,Love Story,Jennifer Cavalleri
1970,Sarah Miles,Ryan's Daughter,Rosy Ryan
1970,Carrie Snodgress,Diary of a Mad Housewife,"Bettina ""Tina"" Balser"
1971,Julie Christie,McCabe & Mrs. Miller,Constance Miller
1971,Jane Fonda Award winner,Klute,Bree Daniels
1971,Glenda Jackson,Sunday Bloody Sunday,Alex Greville
1971,Vanessa Redgrave,Mary Queen of Scots,Mary Queen of Scots
1971,Janet Suzman,Nicholas and Alexandra,Empress Alexandra of Russia
1972,Liza Minnelli Award winner,Cabaret,Sally Bowles
1972,Diana Ross,Lady Sings the Blues,Billie Holiday
1972,Maggie Smith,Travels with My Aunt,Augusta Bertram
1972,Cicely Tyson,Sounder,Rebecca Morgan
1972,Liv Ullmann,The Emigrants,Kristina Nilsson
1973,Ellen Burstyn,The Exorcist,Chris MacNeil
1973,Glenda Jackson Award winner,A Touch of Class,Vicki Allessio
1973,Marsha Mason,Cinderella Liberty,Maggie Paul
1973,Barbra Streisand,The Way We Were,Katie Morosky
1973,Joanne Woodward,Summer Wishes Winter Dreams,Rita Walden
1974,Ellen Burstyn Award winner,Alice Doesn't Live Here Anymore,Alice Hyatt
1974,Diahann Carroll,Claudine,Claudine Price
1974,Faye Dunaway,Chinatown,Evelyn Cross Mulwray
1974,Valerie Perrine,Lenny,Honey Bruce
1974,Gena Rowlands,A Woman Under the Influence,Mabel Longhetti
1975,Isabelle Adjani,The Story of Adele H.,Adele Hugo / Adele Lewry
1975,Ann-Margret,Tommy,Nora Walker
1975,Louise Fletcher Award winner,One Flew Over the Cuckoo's Nest,Nurse Mildred Ratched
1975,Glenda Jackson,Hedda,Hedda Gabler
1975,Carol Kane,Hester Street,Gitl
1976,Marie-Christine Barrault,Cousin Cousine,Marthe
1976,Faye Dunaway Award winner,Network,Diana Christensen
1976,Talia Shire,Rocky,Adrian Pennino
1976,Sissy Spacek,Carrie,Carrie White
1976,Liv Ullmann,Face to Face,Jenny Isaksson
1977,Anne Bancroft,The Turning Point,Emma Jacklin
1977,Jane Fonda,Julia,Lillian Hellman
1977,Diane Keaton Award winner,Annie Hall,Annie Hall
1977,Shirley MacLaine,The Turning Point,Deedee Rodgers
1977,Marsha Mason,The Goodbye Girl,Paula McFadden
1978,Ingrid Bergman,Autumn Sonata,Charlotte Andergast
1978,Ellen Burstyn,Same Time Next Year,Doris
1978,Jill Clayburgh,An Unmarried Woman,Erica Benton
1978,Jane Fonda Award winner,Coming Home,Sally Hyde
1978,Geraldine Page,Interiors,Eve
1979,Jill Clayburgh,Starting Over,Marilyn Holmberg
1979,Sally Field Award winner,Norma Rae,Norma Rae Webster
1979,Jane Fonda,The China Syndrome,Kimberly Wells
1979,Marsha Mason,Chapter Two,Jennie MacLaine
1979,Bette Midler,The Rose,Mary Rose Foster
1980,Ellen Burstyn,Resurrection,Edna Mae McCauley
1980,Goldie Hawn,Private Benjamin,Judy Benjamin
1980,Mary Tyler Moore,Ordinary People,Beth Jarrett
