Year,Category,Nominee,Additional Info,Won?
2010 (83rd),Best Picture,Black Swan,Mike Medavoy, Brian Oliver and Scott Franklin
2010 (83rd),Best Picture,The Fighter,David Hoberman, Todd Lieberman and Mark Wahlberg
2010 (83rd),Best Picture,Inception,Emma Thomas and Christopher Nolan, Producers
2010 (83rd),Best Picture,The Kids Are All Right,Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray
2010 (83rd),Best Picture,The King's Speech,Iain Canning, Emile Sherman and Gareth Unwin
2010 (83rd),Best Picture,127 Hours,Christian Colson, Danny Boyle and John Smithson
2010 (83rd),Best Picture,The Social Network,Scott Rudin, Dana Brunetti
2010 (83rd),Best Picture,Toy Story 3,Darla K. Anderson, Producer
2010 (83rd),Best Picture,True Grit,Scott Rudin, Ethan Coen and Joel Coen
2010 (83rd),Best Picture,Winter's Bone,Anne Rosellini and Alix Madigan-Yorkin, Producers
2010 (83rd),Short Film (Animated),Day & Night,Teddy Newton,FALSE
2010 (83rd),Short Film (Animated),The Gruffalo,Jakob Schuh and Max Lang,FALSE
2010 (83rd),Short Film (Animated),Let's Pollute,Geefwee Boedoe,FALSE
2010 (83rd),Short Film (Animated),The Lost Thing,Shaun Tan and Andrew Ruhemann,TRUE
2010 (83rd),Short Film (Animated),Madagascar, carnet de voyage (Madagascar, a Journey Diary)
2010 (83rd),Short Film (Live Action),The Confession,Tanel Toom,FALSE
2010 (83rd),Short Film (Live Action),The Crush,Michael Creagh,FALSE
2010 (83rd),Short Film (Live Action),God of Love,Luke Matheny,TRUE
2010 (83rd),Short Film (Live Action),Na Wewe,Ivan Goldschmidt,FALSE
2010 (83rd),Short Film (Live Action),Wish 143,Ian Barnes and Samantha Waite,FALSE
2010 (83rd),Sound,Inception,Lora Hirschberg, Gary A. Rizzo and Ed Novick
2010 (83rd),Sound,The King's Speech,Paul Hamblin, Martin Jensen and John Midgley
2010 (83rd),Sound,Salt,Jeffrey J. Haboush, Greg P. Russell
2010 (83rd),Sound,The Social Network,Ren Klyce, David Parker
2010 (83rd),Sound,True Grit,Skip Lievsay, Craig Berkey
2010 (83rd),Sound Editing,Inception,Richard King,TRUE
2010 (83rd),Sound Editing,Toy Story 3,Tom Myers and Michael Silvers,FALSE
2010 (83rd),Sound Editing,Tron: Legacy,Gwendolyn Yates Whittle and Addison Teague,FALSE
2010 (83rd),Sound Editing,True Grit,Skip Lievsay and Craig Berkey,FALSE
2010 (83rd),Sound Editing,Unstoppable,Mark P. Stoeckinger,FALSE
2010 (83rd),Visual Effects,Alice in Wonderland,Ken Ralston, David Schaub
2010 (83rd),Visual Effects,Harry Potter and the Deathly Hallows Part 1,Tim Burke, John Richardson
2010 (83rd),Visual Effects,Hereafter,Michael Owens, Bryan Grill
2010 (83rd),Visual Effects,Inception,Paul Franklin, Chris Corbould
2010 (83rd),Visual Effects,Iron Man 2,Janek Sirrs, Ben Snow
2010 (83rd),Writing,127 Hours,Screenplay by Danny Boyle & Simon Beaufoy,FALSE
2010 (83rd),Writing,The Social Network,Screenplay by Aaron Sorkin,TRUE
2010 (83rd),Writing,Toy Story 3,Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich
2010 (83rd),Writing,True Grit,Written for the screen by Joel Coen & Ethan Coen,FALSE
2010 (83rd),Writing,Winter's Bone,Adapted for the screen by Debra Granik & Anne Rosellini,FALSE
2010 (83rd),Writing,Another Year,Written by Mike Leigh,FALSE
2010 (83rd),Writing,The Fighter,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson,FALSE
2010 (83rd),Writing,Inception,Written by Christopher Nolan,FALSE
2010 (83rd),Writing,The Kids Are All Right,Written by Lisa Cholodenko & Stuart Blumberg,FALSE
2010 (83rd),Writing,The King's Speech,Screenplay by David Seidler,TRUE
2010 (83rd),Honorary Award,To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,,TRUE
2010 (83rd),Honorary Award,To Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,,TRUE
2010 (83rd),Honorary Award,To Eli Wallach for a lifetime's worth of indelible screen characters.,,TRUE
2010 (83rd),Irving G. Thalberg Memorial Award,Francis Ford Coppola,,TRUE
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),To DR. MARK SAGAR for his early and continuing development of influential facial motion retargeting solutions. Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters. [Digital Imaging Technology],
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),To MARK NOEL for the design, engineering, and development
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),To JAMES RODNUNSKY, ALEX MacDONALD and MARK CHAPMAN for the development of the Cablecam 3-D volumetric suspended cable camera technologies. The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes],
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),To TIM DRNEC, BEN BRITTEN SMITH and MATT DAVIS for the development of the Spydercam 3-D volumetric suspended cable camera technologies. The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes],
2010 (83rd),Scientific and Technical (Technical Achievement Award),To GREG ERCOLANO for the design and engineering of a series of software systems culminating in the Rush render queue management system. Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios. [Digital Imaging Technology],
2010 (83rd),Scientific and Technical (Technical Achievement Award),To DAVID M. LAUR for the development of the Alfred render queue management system. This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools. [Digital Imaging Technology]
2010 (83rd),Scientific and Technical (Technical Achievement Award),To CHRIS ALLEN, GAUTHAM KRISHNAMURTI, MARK A. BROWN and LANCE KIMES for the development of Queue
2010 (83rd),Scientific and Technical (Technical Achievement Award),To FLORIAN KAINZ for the design and development of the robust, highly scalable distributed architecture of the ObaQ render queue management system. ObaQ has scaled from managing a few hundred processors in 1997 to many thousands today, with minimal changes to the original design. [Digital Imaging Technology]
2010 (83rd),Scientific and Technical (Technical Achievement Award),To ERIC TABELLION and ARNAULD LAMORLETTE for the creation of a computer graphics bounce lighting methodology that is practical at feature film scale. This important step in the evolution of global illumination techniques, first used on the motion picture Shrek 2, was shared with the industry in their technical paper An Approximate Global Illumination System for Computer Generated Films. [Digital Imaging Technology]
2010 (83rd),Scientific and Technical (Technical Achievement Award),To TONY CLARK, ALAN ROGERS, NEIL WILSON and RORY McGREGOR for the software design and continued development of cineSync
2010 (83rd),Scientific and Technical (Bonner Medal),To Denny Clairmont in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,TRUE
2009 (82nd),Actor -- Leading Role,Jeff Bridges,Crazy Heart {'Bad Blake'},TRUE
2009 (82nd),Actor -- Leading Role,George Clooney,Up in the Air {'Ryan Bingham'},FALSE
2009 (82nd),Actor -- Leading Role,Colin Firth,A Single Man {'George'},FALSE
2009 (82nd),Actor -- Leading Role,Morgan Freeman,Invictus {'Nelson Mandela'},FALSE
2009 (82nd),Actor -- Leading Role,Jeremy Renner,The Hurt Locker {'Staff Sergeant William James'},FALSE
2009 (82nd),Actor -- Supporting Role,Matt Damon,Invictus {'Francois Pienaar'},FALSE
2009 (82nd),Actor -- Supporting Role,Woody Harrelson,The Messenger {'Captain Tony Stone'},FALSE
2009 (82nd),Actor -- Supporting Role,Christopher Plummer,The Last Station {'Tolstoy'},FALSE
2009 (82nd),Actor -- Supporting Role,Stanley Tucci,The Lovely Bones {'George Harvey'},FALSE
2009 (82nd),Actor -- Supporting Role,Christoph Waltz,Inglourious Basterds {'Col. Hans Landa'},TRUE
2009 (82nd),Actress -- Leading Role,Sandra Bullock,The Blind Side {'Leigh Anne Tuohy'},TRUE
2009 (82nd),Actress -- Leading Role,Helen Mirren,The Last Station {'Sofya'},FALSE
2009 (82nd),Actress -- Leading Role,Carey Mulligan,An Education {'Jenny'},FALSE
2009 (82nd),Actress -- Leading Role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},FALSE
2009 (82nd),Actress -- Leading Role,Meryl Streep,Julie & Julia {'Julia Child'},FALSE
2009 (82nd),Actress -- Supporting Role,Penelope Cruz,Nine {'Carla'},FALSE
2009 (82nd),Actress -- Supporting Role,Vera Farmiga,Up in the Air {'Alex Goran'},FALSE
2009 (82nd),Actress -- Supporting Role,Maggie Gyllenhaal,Crazy Heart {'Jean Craddock'},FALSE
2009 (82nd),Actress -- Supporting Role,Anna Kendrick,Up in the Air {'Natalie Keener'},FALSE
2009 (82nd),Actress -- Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},TRUE
2009 (82nd),Animated Feature Film,Coraline,Henry Selick,FALSE
2009 (82nd),Animated Feature Film,Fantastic Mr. Fox,Wes Anderson,FALSE
2009 (82nd),Animated Feature Film,The Princess and the Frog,John Musker and Ron Clements,FALSE
2009 (82nd),Animated Feature Film,The Secret of Kells,Tomm Moore,FALSE
2009 (82nd),Animated Feature Film,Up,Pete Docter,TRUE
2009 (82nd),Art Direction,Avatar,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,TRUE
2009 (82nd),Art Direction,The Imaginarium of Doctor Parnassus,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith,FALSE
2009 (82nd),Art Direction,Nine,Production Design: John Myhre; Set Decoration: Gordon Sim,FALSE
2009 (82nd),Art Direction,Sherlock Holmes,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,FALSE
2009 (82nd),Art Direction,The Young Victoria,Production Design: Patrice Vermette; Set Decoration: Maggie Gray,FALSE
2009 (82nd),Cinematography,Avatar,Mauro Fiore,TRUE
2009 (82nd),Cinematography,Harry Potter and the Half-Blood Prince,Bruno Delbonnel,FALSE
2009 (82nd),Cinematography,The Hurt Locker,Barry Ackroyd,FALSE
2009 (82nd),Cinematography,Inglourious Basterds,Robert Richardson,FALSE
2009 (82nd),Cinematography,The White Ribbon,Christian Berger,FALSE
2009 (82nd),Costume Design,Bright Star,Janet Patterson,FALSE
2009 (82nd),Costume Design,Coco before Chanel,Catherine Leterrier,FALSE
2009 (82nd),Costume Design,The Imaginarium of Doctor Parnassus,Monique Prudhomme,FALSE
2009 (82nd),Costume Design,Nine,Colleen Atwood,FALSE
2009 (82nd),Costume Design,The Young Victoria,Sandy Powell,TRUE
2009 (82nd),Directing,Avatar,James Cameron,FALSE
2009 (82nd),Directing,The Hurt Locker,Kathryn Bigelow,TRUE
2009 (82nd),Directing,Inglourious Basterds,Quentin Tarantino,FALSE
2009 (82nd),Directing,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,FALSE
2009 (82nd),Directing,Up in the Air,Jason Reitman,FALSE
2009 (82nd),Documentary (Feature),Burma VJ,Anders Ostergaard and Lise Lense-Muller,FALSE
2009 (82nd),Documentary (Feature),The Cove,Louie Psihoyos and Fisher Stevens,TRUE
2009 (82nd),Documentary (Feature),Food, Inc.,Robert Kenner and Elise Pearlstein
2009 (82nd),Documentary (Feature),The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Judith Ehrlich and Rick Goldsmith,FALSE
2009 (82nd),Documentary (Feature),Which Way Home,Rebecca Cammisa,FALSE
2009 (82nd),Documentary (Short Subject),China's Unnatural Disaster: The Tears of Sichuan Province,Jon Alpert and Matthew O'Neill,FALSE
2009 (82nd),Documentary (Short Subject),The Last Campaign of Governor Booth Gardner,Daniel Junge and Henry Ansbacher,FALSE
2009 (82nd),Documentary (Short Subject),The Last Truck: Closing of a GM Plant,Steven Bognar and Julia Reichert,FALSE
2009 (82nd),Documentary (Short Subject),Music by Prudence,Roger Ross Williams and Elinor Burkett,TRUE
2009 (82nd),Documentary (Short Subject),Rabbit a la Berlin,Bartek Konopka and Anna Wydra,FALSE
2009 (82nd),Film Editing,Avatar,Stephen Rivkin, John Refoua and James Cameron
2009 (82nd),Film Editing,District 9,Julian Clarke,FALSE
2009 (82nd),Film Editing,The Hurt Locker,Bob Murawski and Chris Innis,TRUE
2009 (82nd),Film Editing,Inglourious Basterds,Sally Menke,FALSE
2009 (82nd),Film Editing,Precious: Based on the Novel 'Push' by Sapphire,Joe Klotz,FALSE
2009 (82nd),Foreign Language Film,Ajami,Israel,FALSE
2009 (82nd),Foreign Language Film,The Milk of Sorrow,Peru,FALSE
2009 (82nd),Foreign Language Film,A Prophet,France,FALSE
2009 (82nd),Foreign Language Film,The Secret in Their Eyes,Argentina,TRUE
2009 (82nd),Foreign Language Film,The White Ribbon,Germany,FALSE
2009 (82nd),Makeup,Il Divo,Aldo Signoretti and Vittorio Sodano,FALSE
2009 (82nd),Makeup,Star Trek,Barney Burman, Mindy Hall and Joel Harlow
2009 (82nd),Makeup,The Young Victoria,Jon Henry Gordon and Jenny Shircore,FALSE
2009 (82nd),Music (Scoring),Avatar,James Horner,FALSE
2009 (82nd),Music (Scoring),Fantastic Mr. Fox,Alexandre Desplat,FALSE
2009 (82nd),Music (Scoring),The Hurt Locker,Marco Beltrami and Buck Sanders,FALSE
2009 (82nd),Music (Scoring),Sherlock Holmes,Hans Zimmer,FALSE
2009 (82nd),Music (Scoring),Up,Michael Giacchino,TRUE
