Year,Category,Nominee,Additional Info,Won?
1995 (68th),Sound,Braveheart,Andy Nelson, Scott Millan
1995 (68th),Sound,Crimson Tide,Kevin O'Connell, Rick Kline
1995 (68th),Sound,Waterworld,Steve Maslow, Gregg Landaker
1995 (68th),Sound Editing,Batman Forever,John Leveque, Bruce Stambler
1995 (68th),Sound Editing,Braveheart,Lon Bender, Per Hallberg
1995 (68th),Sound Editing,Crimson Tide,George Watters II,FALSE
1995 (68th),Visual Effects,Apollo 13,Robert Legato, Michael Kanfer
1995 (68th),Visual Effects,Babe,Scott E. Anderson, Charles Gibson
1995 (68th),Writing,Apollo 13,William Broyles, Jr.
1995 (68th),Writing,Babe,George Miller, Chris Noonan
1995 (68th),Writing,Leaving Las Vegas,Mike Figgis,FALSE
1995 (68th),Writing,The Postman (Il Postino),Anna Pavignano, Michael Radford
1995 (68th),Writing,Sense and Sensibility,Emma Thompson,TRUE
1995 (68th),Writing,Braveheart,Randall Wallace,FALSE
1995 (68th),Writing,Mighty Aphrodite,Woody Allen,FALSE
1995 (68th),Writing,Nixon,Stephen J. Rivele, Christopher Wilkinson
1995 (68th),Writing,Toy Story,Screenplay by Joss Whedon, Andrew Stanton
1995 (68th),Writing,The Usual Suspects,Christopher McQuarrie,TRUE
1995 (68th),Special Achievement Award,To John Lasseter, for his inspired leadership of the Pixar Toy Story team, resulting in the first feature-length computer-animated film.
1995 (68th),Honorary Award,To Kirk Douglas, for fifty years as a creative and moral force in the motion picture community.,
1995 (68th),Honorary Award,To Chuck Jones, for the creation of classic cartoons which have brought worldwide joy for more than half a century.,
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To ARNOLD AND RICHTER CINE TECHNIK for the development of the Arriflex 535 Series of Cameras for motion picture cinematography. [Camera],,TRUE
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To DIGITAL THEATER SYSTEMS for the design and development of the DTS Digital Sound System for motion picture exhibition. [Sound],,TRUE
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To DOLBY LABORATORIES for the design and development of the SR-D Digital Sound System for motion picture exhibition. [Sound],,TRUE
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To SONY CORPORATION for the design and development of the SDDS Digital Sound System for motion picture exhibition. [Sound],,TRUE
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To HOWARD FLEMMING and RONALD UHLIG for their pioneering work leading to motion picture digital sound. [Sound],,TRUE
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To RONALD C. GOODMAN, ATTILA SZALAY, STEVEN SASS and SPACECAM SYSTEMS
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To COLIN MOSSMAN, JOE WARY, HANS LEISINGER
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To DAVID GILMARTIN, JOHANNES BORGGREBE, JEAN-PIERRE GAGNON
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To IAIN NEIL for the optical design; RICK GELBARD for the mechanical design; ERIC DUBBERKE for the engineering and PANAVISION INTERNATIONAL, L.P., for the development of the Primo 3:1 Zoom Lens. [Lenses and Filters]
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To MARTIN S. MUELLER for the design and development of the MSM 9801 IMAX 65mm/15 perf production motion picture camera. [Camera],,TRUE
1995 (68th),Scientific and Technical (Scientific and Engineering Award),To ALVY RAY SMITH, ED CATMULL, THOMAS PORTER and TOM DUFF for their pioneering inventions in Digital Image Compositing. [Special Photographic]
1995 (68th),Scientific and Technical (Technical Achievement Award),To PASCAL CHEDEVILLE for the design of the L.C. Concept Digital Sound System for motion picture exhibition. [Sound],,TRUE
1995 (68th),Scientific and Technical (Technical Achievement Award),To JAMES DEAS of the Warner Bros. Studio Facility for the design and subsequent development of an Automated Patchbay and Metering System for motion picture sound transfer and dubbing operations. [Sound],,TRUE
1995 (68th),Scientific and Technical (Technical Achievement Award),To CLAY DAVIS and JOHN CARTER of Todd-AO for their pioneering efforts in creating an Automated Patchbay System for motion picture sound transfer and dubbing operations. [Sound],,TRUE
1995 (68th),Scientific and Technical (Technical Achievement Award),To AL JENSEN, CHUCK HEADLEY, JEAN MESSNER and HAZEM NABULSI of CEI Technology for producing a self-contained
1995 (68th),Scientific and Technical (Technical Achievement Award),To PETER DENZ of Prozisions-Entwicklung Denz for developing a flicker-free Color Video-Assist Camera. [Camera],,TRUE
1995 (68th),Scientific and Technical (Technical Achievement Award),To DAVID PRINGLE and YAN ZHONG FANG for the design and development of Lightning Strikes, a flexible, high-performance electronic lightning effect system. [Stage Operations]
1995 (68th),Scientific and Technical (Technical Achievement Award),To BHP, INCORPORATED for their pioneering efforts developing Digital Sound Printing Heads for motion pictures. [Sound],
1995 (68th),Scientific and Technical (Technical Achievement Award),To JOE FINNEGAN (a.k.a. Joe Yrigoyen) for his pioneering work in developing the Air Ram for motion picture stunt effects. [Stage Operations],,TRUE
1995 (68th),Scientific and Technical (Technical Achievement Award),To GARY DEMOS, DAVID RUHOFF, DAN CAMERON and MICHELLE FERAUD for their pioneering efforts in the creation of the Digital Productions Digital Film Compositing System. [Special Photographic]
1995 (68th),Scientific and Technical (Technical Achievement Award),To DOUGLAS SMYTHE, LINCOLN HU, DOUGLAS S. KAY and INDUSTRIAL LIGHT AND MAGIC for their pioneering efforts in the creation of the ILM Digital Film Compositing System. [Special Photographic]
1995 (68th),Scientific and Technical (Technical Achievement Award),To the COMPUTER FILM COMPANY for their pioneering efforts in the creation of the CFC Digital Film Compositing System. [Special Photographic],,TRUE
1995 (68th),Scientific and Technical (Technical Achievement Award),To INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE for the concept; KODAK PATHE CTP CINE for the prototype; and ECLAIR LABORATORIES and MARTINEAU INDUSTRIES for the development and further implementation of the Toulouse Electrolytic Silver Recovery Cell. [Laboratory],,TRUE
1995 (68th),Scientific and Technical (Gordon E. Sawyer Award),Donald C. Rogers,,TRUE
1994 (67th),Actor -- Leading Role,Morgan Freeman,The Shawshank Redemption {'Red'},FALSE
1994 (67th),Actor -- Leading Role,Tom Hanks,Forrest Gump {'Forrest Gump'},TRUE
1994 (67th),Actor -- Leading Role,Nigel Hawthorne,The Madness of King George {'King George III'},FALSE
1994 (67th),Actor -- Leading Role,Paul Newman,Nobody's Fool {'Sully'},FALSE
1994 (67th),Actor -- Leading Role,John Travolta,Pulp Fiction {'Vincent Vega'},FALSE
1994 (67th),Actor -- Supporting Role,Samuel L. Jackson,Pulp Fiction {'Jules Winnfield'},FALSE
1994 (67th),Actor -- Supporting Role,Martin Landau,Ed Wood {'Bela Lugosi'},TRUE
1994 (67th),Actor -- Supporting Role,Chazz Palminteri,Bullets over Broadway {'Cheech'},FALSE
1994 (67th),Actor -- Supporting Role,Paul Scofield,Quiz Show {'Mark Van Doren'},FALSE
1994 (67th),Actor -- Supporting Role,Gary Sinise,Forrest Gump {'Lieutenant Dan'},FALSE
1994 (67th),Actress -- Leading Role,Jodie Foster,Nell {'Nell'},FALSE
1994 (67th),Actress -- Leading Role,Jessica Lange,Blue Sky {'Carly Marshall'},TRUE
1994 (67th),Actress -- Leading Role,Miranda Richardson,Tom & Viv {'Viv'},FALSE
1994 (67th),Actress -- Leading Role,Winona Ryder,Little Women {'Jo March'},FALSE
1994 (67th),Actress -- Leading Role,Susan Sarandon,The Client {'Reggie Love'},FALSE
1994 (67th),Actress -- Supporting Role,Rosemary Harris,Tom & Viv {'Rose Haigh-Wood'},FALSE
1994 (67th),Actress -- Supporting Role,Helen Mirren,The Madness of King George {'Queen Charlotte'},FALSE
1994 (67th),Actress -- Supporting Role,Uma Thurman,Pulp Fiction {'Mia'},FALSE
1994 (67th),Actress -- Supporting Role,Jennifer Tilly,Bullets over Broadway {'Olive Neal'},FALSE
1994 (67th),Actress -- Supporting Role,Dianne Wiest,Bullets over Broadway {'Helen Sinclair'},TRUE
1994 (67th),Art Direction,Bullets over Broadway,Art Direction: Santo Loquasto; Set Decoration: Susan Bode,FALSE
1994 (67th),Art Direction,Forrest Gump,Art Direction: Rick Carter; Set Decoration: Nancy Haigh,FALSE
1994 (67th),Art Direction,Interview with the Vampire,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,FALSE
1994 (67th),Art Direction,Legends of the Fall,Art Direction: Lilly Kilvert; Set Decoration: Dorree Cooper,FALSE
1994 (67th),Art Direction,The Madness of King George,Art Direction: Ken Adam; Set Decoration: Carolyn Scott,TRUE
1994 (67th),Cinematography,Forrest Gump,Don Burgess,FALSE
1994 (67th),Cinematography,Legends of the Fall,John Toll,TRUE
1994 (67th),Cinematography,Red,Piotr Sobocinski,FALSE
1994 (67th),Cinematography,The Shawshank Redemption,Roger Deakins,FALSE
1994 (67th),Cinematography,Wyatt Earp,Owen Roizman,FALSE
1994 (67th),Costume Design,The Adventures of Priscilla, Queen of the Desert,Lizzy Gardiner
1994 (67th),Costume Design,Bullets over Broadway,Jeffrey Kurland,FALSE
1994 (67th),Costume Design,Little Women,Colleen Atwood,FALSE
1994 (67th),Costume Design,Maverick,April Ferry,FALSE
1994 (67th),Costume Design,Queen Margot,Moidele Bickel,FALSE
1994 (67th),Directing,Bullets over Broadway,Woody Allen,FALSE
1994 (67th),Directing,Forrest Gump,Robert Zemeckis,TRUE
1994 (67th),Directing,Pulp Fiction,Quentin Tarantino,FALSE
1994 (67th),Directing,Quiz Show,Robert Redford,FALSE
1994 (67th),Directing,Red,Krzysztof Kieslowski,FALSE
1994 (67th),Documentary (Feature),Complaints of a Dutiful Daughter,Deborah Hoffmann,FALSE
1994 (67th),Documentary (Feature),D-Day Remembered,Charles Guggenheim,FALSE
1994 (67th),Documentary (Feature),Freedom on My Mind,Connie Field, Marilyn Mulford
1994 (67th),Documentary (Feature),A Great Day in Harlem,Jean Bach,FALSE
1994 (67th),Documentary (Feature),Maya Lin: A Strong Clear Vision,Freida Lee Mock, Terry Sanders
1994 (67th),Documentary (Short Subject),Blues Highway,Vince DiPersio, Bill Guttentag
1994 (67th),Documentary (Short Subject),89mm od Europy (89mm from Europe),Marcel Lozinski,FALSE
1994 (67th),Documentary (Short Subject),School of the Americas Assassins,Robert Richter,FALSE
1994 (67th),Documentary (Short Subject),Straight from the Heart,Dee Mosbacher, Frances Reid
1994 (67th),Documentary (Short Subject),A Time for Justice,Charles Guggenheim,TRUE
1994 (67th),Film Editing,Forrest Gump,Arthur Schmidt,TRUE
1994 (67th),Film Editing,Hoop Dreams,Frederick Marx, Steve James
1994 (67th),Film Editing,Pulp Fiction,Sally Menke,FALSE
1994 (67th),Film Editing,The Shawshank Redemption,Richard Francis-Bruce,FALSE
1994 (67th),Film Editing,Speed,John Wright,FALSE
1994 (67th),Foreign Language Film,Before the Rain,The Former Yugoslav Republic of Macedonia,FALSE
1994 (67th),Foreign Language Film,Burnt by the Sun,Russia,TRUE
1994 (67th),Foreign Language Film,Eat Drink Man Woman,Taiwan,FALSE
1994 (67th),Foreign Language Film,Farinelli: Il Castrato,Belgium,FALSE
1994 (67th),Foreign Language Film,Strawberry and Chocolate,Cuba,FALSE
1994 (67th),Makeup,Ed Wood,Rick Baker, Ve Neill
1994 (67th),Makeup,Forrest Gump,Daniel C. Striepeke, Hallie D'Amore
1994 (67th),Makeup,Mary Shelley's Frankenstein,Daniel Parker, Paul Engelen
1994 (67th),Music (Scoring),Forrest Gump,Alan Silvestri,FALSE
1994 (67th),Music (Scoring),Interview with the Vampire,Elliot Goldenthal,FALSE
1994 (67th),Music (Scoring),The Lion King,Hans Zimmer,TRUE
1994 (67th),Music (Scoring),Little Women,Thomas Newman,FALSE
1994 (67th),Music (Scoring),The Shawshank Redemption,Thomas Newman,FALSE
1994 (67th),Music (Song),The Lion King,Music by Elton John; Lyric by Tim Rice,TRUE
1994 (67th),Music (Song),The Lion King,Music by Elton John; Lyric by Tim Rice,FALSE
1994 (67th),Music (Song),The Lion King,Music by Elton John; Lyric by Tim Rice,FALSE
1994 (67th),Music (Song),Junior,Music and Lyric by Carole Bayer Sager, James Newton Howard
1994 (67th),Music (Song),The Paper,Music and Lyric by Randy Newman,FALSE
1994 (67th),Best Picture,Forrest Gump,Wendy Finerman, Steve Tisch and Steve Starkey
1994 (67th),Best Picture,Four Weddings and a Funeral,Duncan Kenworthy, Producer
1994 (67th),Best Picture,Pulp Fiction,Lawrence Bender, Producer
1994 (67th),Best Picture,Quiz Show,Robert Redford, Michael Jacobs
1994 (67th),Best Picture,The Shawshank Redemption,Niki Marvin, Producer
1994 (67th),Short Film (Animated),The Big Story,Tim Watts, David Stoten
1994 (67th),Short Film (Animated),Bob's Birthday,Alison Snowden, David Fine
1994 (67th),Short Film (Animated),The Janitor,Vanessa Schwartz,FALSE
1994 (67th),Short Film (Animated),The Monk and the Fish,Michael Dudok de Wit,FALSE
1994 (67th),Short Film (Animated),Triangle,Erica Russell,FALSE
1994 (67th),Short Film (Live Action),Franz Kafka's It's a Wonderful Life,Peter Capaldi, Ruth Kenley-Letts
1994 (67th),Short Film (Live Action),Kangaroo Court,Sean Astin, Christine Astin
1994 (67th),Short Film (Live Action),On Hope,JoBeth Williams, Michele McGuire
1994 (67th),Short Film (Live Action),Syrup,Paul Unwin, Nick Vivian
1994 (67th),Short Film (Live Action),Trevor,Peggy Rajski, Randy Stone
1994 (67th),Sound,Clear and Present Danger,Donald O. Mitchell, Michael Herbick
1994 (67th),Sound,Forrest Gump,Randy Thom, Tom Johnson
1994 (67th),Sound,Legends of the Fall,Paul Massey, David Campbell
1994 (67th),Sound,The Shawshank Redemption,Robert J. Litt, Elliot Tyson
1994 (67th),Sound,Speed,Gregg Landaker, Steve Maslow
1994 (67th),Sound Editing,Clear and Present Danger,Bruce Stambler, John Leveque
1994 (67th),Sound Editing,Forrest Gump,Gloria S. Borders, Randy Thom
1994 (67th),Sound Editing,Speed,Stephen Hunter Flick,TRUE
1994 (67th),Visual Effects,Forrest Gump,Ken Ralston, George Murphy
1994 (67th),Visual Effects,The Mask,Scott Squires, Steve Williams
1994 (67th),Visual Effects,True Lies,John Bruno, Thomas L. Fisher
1994 (67th),Writing,Forrest Gump,Eric Roth,TRUE
1994 (67th),Writing,The Madness of King George,Alan Bennett,FALSE
1994 (67th),Writing,Nobody's Fool,Robert Benton,FALSE
1994 (67th),Writing,Quiz Show,Paul Attanasio,FALSE
1994 (67th),Writing,The Shawshank Redemption,Frank Darabont,FALSE
1994 (67th),Writing,Bullets over Broadway,Woody Allen, Douglas McGrath
1994 (67th),Writing,Four Weddings and a Funeral,Richard Curtis,FALSE
1994 (67th),Writing,Heavenly Creatures,Frances Walsh, Peter Jackson
1994 (67th),Writing,Pulp Fiction,Screenplay by Quentin Tarantino; Stories by Quentin Tarantino & Roger Avary,TRUE
1994 (67th),Writing,Red,Krzysztof Piesiewicz, Krzysztof Kieslowski
1994 (67th),Honorary Award,To Michelangelo Antonioni in recognition of his place as one of the cinema's master visual stylists.,,TRUE
1994 (67th),Jean Hersholt Humanitarian Award,Quincy Jones,,TRUE
1994 (67th),Irving G. Thalberg Memorial Award,Clint Eastwood,,TRUE
1994 (67th),Scientific and Technical (Academy Award of Merit),To PETRO VLAHOS and PAUL VLAHOS for the conception and development of the Ultimatte Electronic Blue Screen Compositing Process for motion pictures. [Special Photographic],,TRUE
1994 (67th),Scientific and Technical (Academy Award of Merit),To the EASTMAN KODAK COMPANY for the development of the Eastman EXR Color Intermediate Film 5244. [Film],,TRUE
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To GARY DEMOS and DAN CAMERON of Information International, DAVID DiFRANCESCO and GARY STARKWEATHER of Pixar, and SCOTT SQUIRES of Industrial Light & Magic for their pioneering work in the field of film input scanning. [Special Photographic]
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To RAY FEENEY, WILL McCOWN and BILL BISHOP of RFX, Inc. and LES DITTERT of Pacific Data Images for their development work with area array CCD (Charge Coupled Device) film input scanning systems. [Special Photographic]
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To LINCOLN HU and MICHAEL MacKENZIE of Industrial Light & Magic and GLENN KENNEL and MIKE DAVIS of Eastman Kodak for their joint development work on a linear array CCD (Charge Coupled Device) film input scanning system. [Special Photographic],,TRUE
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To IAIN NEIL for the optical design, AL SAIKI for the mechanical design, and PANAVISION INTERNATIONAL L.P. for the development of the Panavision 11:1 Primo Zoom Lens for motion picture photography. [Lenses and Filters]
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To JAMES KETCHAM of JSK Engineering for the concept and design of the MC211 micro processor based motion controller for synchronizing sprocketed film with time-code based machines. [Sound],,TRUE
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To WILLIAM J. WARNER and ERIC C. PETERS for the concept, MICHAEL E. PHILLIPS and TOM A. OHANIAN for the system design, and PATRICK D. O'CONNOR and JOE H. RICE for the engineering of the Avid Film Composer for motion picture editing. [Editorial and Pre-production]
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To PAUL BAMBOROUGH for the concept, NICK POLLACK and ARTHUR WRIGHT for the hardware development, and NEIL HARRIS and DUNCAN MacLEAN for the software development of The Lightworks Editor for motion picture editing. [Editorial and Pre-production]
1994 (67th),Scientific and Technical (Scientific and Engineering Award),To GEORGE SAUVE, BILL BISHOP, ARPAG DADOURIAN
1994 (67th),Scientific and Technical (Technical Achievement Award),To B. RUSSELL HESSEY of Special Effects Spectacular, Inc. and VINCENT T. KELTON for the hardware design and GEORGE JACKMAN of De La Mare Engineering, Inc. for the pyrotechnic development which together comprise the non-gun safety blank firing system. [Stage Operations]
1994 (67th),Scientific and Technical (Technical Achievement Award),To FRIEDER HOCHHEIM, GARY SWINK, DR. JOE ZHOU and DON NORTHROP for the development of the Kino Flo Portable
1994 (67th),Scientific and Technical (Technical Achievement Award),To EMANUEL PREVINAIRE of Flying-Cam for his pioneering concept and for the development of mounting a motion picture camera on a remotely-controlled miniature helicopter. [Photography],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To JACQUES SAX of Sonosax for the design and development of the Sonosax SX-S portable audio mixer. [Sound],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To CLAY DAVIS and JOHN CARTER of Todd-AO for the pioneering effort of computer controlled list management style ADR (Automated Dialogue Replacement). [Sound],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To STEPHEN W. POTTER, JOHN B. ASMAN, CHARLES PELL and RICHARD LARSON of LarTec Systems for the advancement and refinement of the computer controlled list management style ADR (Automated Dialogue Replacement) system via the LarTec ADR System that has established itself as a standard of the industry. [Sound]
1994 (67th),Scientific and Technical (Technical Achievement Award),To AUDIO TRACKS, INC. for the design and development of the ADE (Advanced Data Encoding) System which creates an encoded timecode track and database during the initial transfer of the production sound dailies. [Sound],
1994 (67th),Scientific and Technical (Technical Achievement Award),To COLIN BROAD of CB Electronics for the design and development of the EDL (Edit Decision List) Lister which creates an encoded timecode track and database during the initial transfer of the production sound dailies. [Sound],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To DIETER STURM of Sturm's Special Effects Int'l for the creation and development of the Bio-Snow 2 Flake. [Stage Operations],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To DAVID A. ADDLEMAN and LLOYD A. ADDLEMAN for the development of the Cyberware 3030 3D Digitizer. [Special Photographic],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To MARK R. SCHNEIDER, HERBERT R. JONES, CHRISTOPHER D. CONOVER and JOHN R.B. BROWN for the development of the Polhemus 3 Space Digitizing System. [Special Photographic]
1994 (67th),Scientific and Technical (Technical Achievement Award),To JACK C. SMITH, MICHAEL CRICHTON and EMIL SAFIER for pioneering computerized motion picture budgeting and scheduling. [Editorial and Pre-production],
1994 (67th),Scientific and Technical (Technical Achievement Award),To STEPHEN GREENFIELD and CHRIS HUNTLEY of Screenplay Systems for development of the Scriptor software. [Editorial and Pre-production],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To ART FRITZEN of the California Fritzen Propeller Company as the designer and sole manufacturer of the Eight-Bladed Ritter Fan Propellers. [Stage Operations],,TRUE
1994 (67th),Scientific and Technical (Technical Achievement Award),To DR. MIKE BOUDRY of the Computer Film Company for his pioneering work in the field of film input scanning. [Special Photographic],,TRUE
1994 (67th),Scientific and Technical (Bonner Medal),To John A. Bonner in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,TRUE
1993 (66th),Actor -- Leading Role,Daniel Day-Lewis,In the Name of the Father {'Gerry Conlon'},FALSE
1993 (66th),Actor -- Leading Role,Laurence Fishburne,What's Love Got to Do with It {'Ike Turner'},FALSE
1993 (66th),Actor -- Leading Role,Tom Hanks,Philadelphia {'Andrew Beckett'},TRUE
1993 (66th),Actor -- Leading Role,Anthony Hopkins,The Remains of the Day {'Mr. Stevens'},FALSE
1993 (66th),Actor -- Leading Role,Liam Neeson,Schindler's List {'Oskar Schindler'},FALSE
1993 (66th),Actor -- Supporting Role,Leonardo DiCaprio,What's Eating Gilbert Grape {'Arnie Grape'},FALSE
1993 (66th),Actor -- Supporting Role,Ralph Fiennes,Schindler's List {'Amon Goeth'},FALSE
1993 (66th),Actor -- Supporting Role,Tommy Lee Jones,The Fugitive {'Samuel Gerard'},TRUE
1993 (66th),Actor -- Supporting Role,John Malkovich,In the Line of Fire {'Mitch Leary'},FALSE
1993 (66th),Actor -- Supporting Role,Pete Postlethwaite,In the Name of the Father {'Giuseppe Conlon'},FALSE
1993 (66th),Actress -- Leading Role,Angela Bassett,What's Love Got to Do with It {'Tina Turner'},FALSE
1993 (66th),Actress -- Leading Role,Stockard Channing,Six Degrees of Separation {'Ouisa Kittredge'},FALSE
1993 (66th),Actress -- Leading Role,Holly Hunter,The Piano {'Ada'},TRUE
1993 (66th),Actress -- Leading Role,Emma Thompson,The Remains of the Day {'Miss Kenton'},FALSE
1993 (66th),Actress -- Leading Role,Debra Winger,Shadowlands {'Joy Gresham'},FALSE
1993 (66th),Actress -- Supporting Role,Holly Hunter,The Firm {'Tammy Hemphill'},FALSE
1993 (66th),Actress -- Supporting Role,Anna Paquin,The Piano {'Flora'},TRUE
1993 (66th),Actress -- Supporting Role,Rosie Perez,Fearless {'Carla Rodrigo'},FALSE
1993 (66th),Actress -- Supporting Role,Winona Ryder,The Age of Innocence {'May Welland'},FALSE
1993 (66th),Actress -- Supporting Role,Emma Thompson,In the Name of the Father {'Gareth Peirce'},FALSE
1993 (66th),Art Direction,Addams Family Values,Art Direction: Ken Adam; Set Decoration: Marvin March,FALSE
1993 (66th),Art Direction,The Age of Innocence,Art Direction: Dante Ferretti; Set Decoration: Robert J. Franco,FALSE
1993 (66th),Art Direction,Orlando,Art Direction: Ben Van Os, Jan Roelfs
1993 (66th),Art Direction,The Remains of the Day,Art Direction: Luciana Arrighi; Set Decoration: Ian Whittaker,FALSE
1993 (66th),Art Direction,Schindler's List,Art Direction: Allan Starski; Set Decoration: Ewa Braun,TRUE
1993 (66th),Cinematography,Farewell My Concubine,Gu Changwei,FALSE
1993 (66th),Cinematography,The Fugitive,Michael Chapman,FALSE
1993 (66th),Cinematography,The Piano,Stuart Dryburgh,FALSE
1993 (66th),Cinematography,Schindler's List,Janusz Kaminski,TRUE
1993 (66th),Cinematography,Searching for Bobby Fischer,Conrad L. Hall,FALSE
1993 (66th),Costume Design,The Age of Innocence,Gabriella Pescucci,TRUE
1993 (66th),Costume Design,Orlando,Sandy Powell,FALSE
1993 (66th),Costume Design,The Piano,Janet Patterson,FALSE
1993 (66th),Costume Design,The Remains of the Day,Jenny Beavan, John Bright
1993 (66th),Costume Design,Schindler's List,Anna Biedrzycka-Sheppard,FALSE
1993 (66th),Directing,In the Name of the Father,Jim Sheridan,FALSE
1993 (66th),Directing,The Piano,Jane Campion,FALSE
1993 (66th),Directing,The Remains of the Day,James Ivory,FALSE
1993 (66th),Directing,Schindler's List,Steven Spielberg,TRUE
1993 (66th),Directing,Short Cuts,Robert Altman,FALSE
1993 (66th),Documentary (Feature),The Broadcast Tapes of Dr. Peter,David Paperny, Arthur Ginsberg
1993 (66th),Documentary (Feature),Children of Fate,Susan Todd, Andrew Young
1993 (66th),Documentary (Feature),For Better or for Worse,David Collier, Betsy Thompson
1993 (66th),Documentary (Feature),I Am a Promise: The Children of Stanton Elementary School,Susan Raymond, Alan Raymond
1993 (66th),Documentary (Feature),The War Room,D. A. Pennebaker, Chris Hegedus
1993 (66th),Documentary (Short Subject),Blood Ties: The Life and Work of Sally Mann,Steven Cantor, Peter Spirer
1993 (66th),Documentary (Short Subject),Chicks in White Satin,Elaine Holliman, Jason Schneider
1993 (66th),Documentary (Short Subject),Defending Our Lives,Margaret Lazarus, Renner Wunderlich
1993 (66th),Film Editing,The Fugitive,Dennis Virkler, David Finfer
1993 (66th),Film Editing,In the Line of Fire,Anne V. Coates,FALSE
1993 (66th),Film Editing,In the Name of the Father,Gerry Hambling,FALSE
1993 (66th),Film Editing,The Piano,Veronika Jenet,FALSE
1993 (66th),Film Editing,Schindler's List,Michael Kahn,TRUE
1993 (66th),Foreign Language Film,Belle Epoque,Spain,TRUE
1993 (66th),Foreign Language Film,Farewell My Concubine,Hong Kong,FALSE
1993 (66th),Foreign Language Film,Hedd Wyn,United Kingdom,FALSE
1993 (66th),Foreign Language Film,The Scent of Green Papaya,Vietnam,FALSE
1993 (66th),Foreign Language Film,The Wedding Banquet,Taiwan,FALSE
1993 (66th),Makeup,Mrs. Doubtfire,Greg Cannom, Ve Neill
1993 (66th),Makeup,Philadelphia,Carl Fullerton, Alan D'Angerio
1993 (66th),Makeup,Schindler's List,Christina Smith, Matthew Mungle
1993 (66th),Music (Scoring),The Age of Innocence,Elmer Bernstein,FALSE
1993 (66th),Music (Scoring),The Firm,Dave Grusin,FALSE
1993 (66th),Music (Scoring),The Fugitive,James Newton Howard,FALSE
1993 (66th),Music (Scoring),The Remains of the Day,Richard Robbins,FALSE
1993 (66th),Music (Scoring),Schindler's List,John Williams,TRUE
1993 (66th),Music (Song),Poetic Justice,Music and Lyric by Janet Jackson, James Harris III and Terry Lewis
1993 (66th),Music (Song),Beethoven's 2nd,Music and Lyric by Carole Bayer Sager, James Ingram and Clif Magness
1993 (66th),Music (Song),Philadelphia,Music and Lyric by Neil Young,FALSE
1993 (66th),Music (Song),Philadelphia,Music and Lyric by Bruce Springsteen,TRUE
1993 (66th),Music (Song),Sleepless in Seattle,Music by Marc Shaiman; Lyric by Ramsey McLean,FALSE
1993 (66th),Best Picture,The Fugitive,Arnold Kopelson, Producer
1993 (66th),Best Picture,In the Name of the Father,Jim Sheridan, Producer
1993 (66th),Best Picture,The Piano,Jan Chapman, Producer
1993 (66th),Best Picture,The Remains of the Day,Mike Nichols, John Calley and Ismail Merchant
1993 (66th),Best Picture,Schindler's List,Steven Spielberg, Gerald R. Molen and Branko Lustig
1993 (66th),Short Film (Animated),Blindscape,Stephen Palmer,FALSE
1993 (66th),Short Film (Animated),The Mighty River,Frederic Back, Hubert Tison
1993 (66th),Short Film (Animated),Small Talk,Bob Godfrey, Kevin Baldwin
1993 (66th),Short Film (Animated),The Village,Mark Baker,FALSE
1993 (66th),Short Film (Animated),The Wrong Trousers,Nick Park,TRUE
1993 (66th),Short Film (Live Action),Black Rider (Schwarzfahrer),Pepe Danquart,TRUE
1993 (66th),Short Film (Live Action),Down on the Waterfront,Stacy Title, Jonathan Penner
1993 (66th),Short Film (Live Action),The Dutch Master,Susan Seidelman, Jonathan Brett
1993 (66th),Short Film (Live Action),Partners,Peter Weller, Jana Sue Memel
1993 (66th),Short Film (Live Action),The Screw (La Vis),Didier Flamand,FALSE
1993 (66th),Sound,Cliffhanger,Michael Minkler, Bob Beemer
1993 (66th),Sound,The Fugitive,Donald O. Mitchell, Michael Herbick
