1945,Clarence Brown,National Velvet
1945,Alfred Hitchcock,Spellbound
1945,Leo McCarey,The Bells of St. Mary's
1945,Billy WilderAward winner,The Lost Weekend
1945,Jean Renoir,The Southerner
1946,David Lean,Brief Encounter
1946,Frank Capra,It's a Wonderful Life
1946,William WylerAward winner,The Best Years of Our Lives
1946,Robert Siodmak,The Killers
1946,Clarence Brown,The Yearling
1947,George Cukor,A Double Life
1947,Edward Dmytryk,Crossfire
1947,Elia KazanAward winner,Gentleman's Agreement
1947,David Lean,Great Expectations
1947,Henry Koster,The Bishop's Wife
1948,Laurence Olivier,Hamlet
1948,Jean Negulesco,Johnny Belinda
1948,Fred Zinnemann,The Search
1948,Anatole Litvak,The Snake Pit
1948,John HustonAward winner,The Treasure of the Sierra Madre
1949,Joseph L. MankiewiczAward winner,A Letter to Three Wives
1949,Robert Rossen,All the King's Men
1949,William A. Wellman,Battleground
1949,Carol Reed,The Fallen Idol
1949,William Wyler,The Heiress
1950,Joseph L. MankiewiczAward winner,All About Eve
1950,George Cukor,Born Yesterday
1950,Billy Wilder,Sunset Boulevard
1950,John Huston,The Asphalt Jungle
1950,Carol Reed,The Third Man
1951,George StevensAward winner,A Place in the Sun
1951,Elia Kazan,A Streetcar Named Desire
1951,Vincente Minnelli,An American in Paris
1951,William Wyler,Detective Story
1951,John Huston,The African Queen
1952,Joseph L. Mankiewicz,5 Fingers
1952,Fred Zinnemann,High Noon
1952,John Huston,Moulin Rouge
1952,Cecil B. DeMille,The Greatest Show on Earth
1952,John FordAward winner,The Quiet Man
1953,Fred ZinnemannAward winner,From Here to Eternity
1953,Charles Walters,Lili
1953,William Wyler,Roman Holiday
1953,George Stevens,Shane
1953,Billy Wilder,Stalag 17
1954,Elia KazanAward winner,On the Waterfront
1954,Alfred Hitchcock,Rear Window
1954,Billy Wilder,Sabrina
1954,George Seaton,The Country Girl
1954,William A. Wellman,The High and the Mighty
1955,John Sturges,Bad Day at Black Rock
1955,Elia Kazan,East of Eden
1955,Delbert MannAward winner,Marty
1955,Joshua Logan,Picnic
1955,David Lean,Summertime
1956,Michael Anderson,Around the World in 80 Days
1956,William Wyler,Friendly Persuasion
1956,George StevensAward winner,Giant
1956,Walter Lang,The King and I
1956,King Vidor,War and Peace
