title,budget,popularity,vote_average,vote_count,release_date,revenue,runtime,production_company_1,production_company_2,production_company_3,imdb_id,genre
Back to the future,19000000,4.058756,7.6,2719,1985-07-03,381109762,116,Universal Pictures,Amblin Entertainment,U-Drive Productions,tt0088763,Adventure
Birdman,18000000,9.589606,7.3,1700,2014-10-17,103215094,119,Worldview Entertainment,New Regency Pictures,TSG Entertainment,tt2562232,Drama
