year,category,film,nominee,character_name,is_winner
2010,Actor -- Leading Role,Biutiful,Javier Bardem,Uxbal,FALSE
2010,Actor -- Leading Role,True Grit,Jeff Bridges,Rooster Cogburn,FALSE
2010,Actor -- Leading Role,The Social Network,Jesse Eisenberg,Mark Zuckerberg,FALSE
2010,Actor -- Leading Role,The King's Speech,Colin Firth,King George VI,TRUE
2010,Actor -- Leading Role,127 Hours,James Franco,Aron Ralston,FALSE
2010,Actor -- Supporting Role,The Fighter,Christian Bale,Dicky Eklund,TRUE
2010,Actor -- Supporting Role,Winter's Bone,John Hawkes,Teardrop,FALSE
2010,Actor -- Supporting Role,The Town,Jeremy Renner,James Coughlin,FALSE
2010,Actor -- Supporting Role,The Kids Are All Right,Mark Ruffalo,Paul,FALSE
2010,Actor -- Supporting Role,The King's Speech,Geoffrey Rush,Lionel Logue,FALSE
2010,Actress -- Leading Role,The Kids Are All Right,Annette Bening,Nic,FALSE
2010,Actress -- Leading Role,Rabbit Hole,Nicole Kidman,Becca,FALSE
2010,Actress -- Leading Role,Winter's Bone,Jennifer Lawrence,Ree,FALSE
2010,Actress -- Leading Role,Black Swan,Natalie Portman,Nina Sayers/The Swan Queen,TRUE
2010,Actress -- Leading Role,Blue Valentine,Michelle Williams,Cindy,FALSE
2010,Actress -- Supporting Role,The Fighter,Amy Adams,Charlene Fleming,FALSE
2010,Actress -- Supporting Role,The King's Speech,Helena Bonham Carter,Queen Elizabeth,FALSE
2010,Actress -- Supporting Role,The Fighter,Melissa Leo,Alice Ward,TRUE
2010,Actress -- Supporting Role,True Grit,Hailee Steinfeld,Mattie Ross,FALSE
2010,Actress -- Supporting Role,Animal Kingdom,Jacki Weaver,Janine 'Smurf' Cody,FALSE
2010,Directing,Black Swan,"",,FALSE
2010,Directing,The Fighter,"",,FALSE
2010,Directing,The King's Speech,"",,TRUE
2010,Directing,The Social Network,"",,FALSE
2010,Directing,True Grit,"",,FALSE
2009,Actor -- Leading Role,Crazy Heart,Jeff Bridges,Bad Blake,TRUE
2009,Actor -- Leading Role,Up in the Air,George Clooney,Ryan Bingham,FALSE
2009,Actor -- Leading Role,A Single Man,Colin Firth,George,FALSE
2009,Actor -- Leading Role,Invictus,Morgan Freeman,Nelson Mandela,FALSE
2009,Actor -- Leading Role,The Hurt Locker,Jeremy Renner,Staff Sergeant William James,FALSE
2009,Actor -- Supporting Role,Invictus,Matt Damon,Francois Pienaar,FALSE
2009,Actor -- Supporting Role,The Messenger,Woody Harrelson,Captain Tony Stone,FALSE
2009,Actor -- Supporting Role,The Last Station,Christopher Plummer,Tolstoy,FALSE
2009,Actor -- Supporting Role,The Lovely Bones,Stanley Tucci,George Harvey,FALSE
2009,Actor -- Supporting Role,Inglourious Basterds,Christoph Waltz,Col. Hans Landa,TRUE
2009,Actress -- Leading Role,The Blind Side,Sandra Bullock,Leigh Anne Tuohy,TRUE
2009,Actress -- Leading Role,The Last Station,Helen Mirren,Sofya,FALSE
2009,Actress -- Leading Role,An Education,Carey Mulligan,Jenny,FALSE
2009,Actress -- Leading Role,Precious: Based on the Novel 'Push' by Sapphire,Gabourey Sidibe,Precious,FALSE
2009,Actress -- Leading Role,Julie & Julia,Meryl Streep,Julia Child,FALSE
2009,Actress -- Supporting Role,Nine,Penelope Cruz,Carla,FALSE
2009,Actress -- Supporting Role,Up in the Air,Vera Farmiga,Alex Goran,FALSE
2009,Actress -- Supporting Role,Crazy Heart,Maggie Gyllenhaal,Jean Craddock,FALSE
2009,Actress -- Supporting Role,Up in the Air,Anna Kendrick,Natalie Keener,FALSE
2009,Actress -- Supporting Role,Precious: Based on the Novel 'Push' by Sapphire,Mo'Nique,Mary,TRUE
2009,Directing,Avatar,"",,FALSE
2009,Directing,The Hurt Locker,"",,TRUE
2009,Directing,Inglourious Basterds,"",,FALSE
2009,Directing,Precious: Based on the Novel 'Push' by Sapphire,"",,FALSE
2009,Directing,Up in the Air,"",,FALSE
2008,Actor -- Leading Role,The Visitor,Richard Jenkins,Walter,FALSE
2008,Actor -- Leading Role,Frost/Nixon,Frank Langella,Richard Nixon,FALSE
2008,Actor -- Leading Role,Milk,Sean Penn,Harvey Milk,TRUE
2008,Actor -- Leading Role,The Curious Case of Benjamin Button,Brad Pitt,Benjamin Button,FALSE
2008,Actor -- Leading Role,The Wrestler,Mickey Rourke,Randy,FALSE
2008,Actor -- Supporting Role,Milk,Josh Brolin,Dan White,FALSE
2008,Actor -- Supporting Role,Tropic Thunder,Robert Downey Jr.,Kirk Lazarus,FALSE
2008,Actor -- Supporting Role,Doubt,Philip Seymour Hoffman,Father Brendan Flynn,FALSE
2008,Actor -- Supporting Role,The Dark Knight,Heath Ledger,Joker,TRUE
2008,Actor -- Supporting Role,Revolutionary Road,Michael Shannon,John Givings,FALSE
2008,Actress -- Leading Role,Rachel Getting Married,Anne Hathaway,Kym,FALSE
2008,Actress -- Leading Role,Changeling,Angelina Jolie,Christine Collins,FALSE
2008,Actress -- Leading Role,Frozen River,Melissa Leo,Ray Eddy,FALSE
2008,Actress -- Leading Role,Doubt,Meryl Streep,Sister Aloysius Beauvier,FALSE
2008,Actress -- Leading Role,The Reader,Kate Winslet,Hanna Schmitz,TRUE
2008,Actress -- Supporting Role,Doubt,Amy Adams,Sister James,FALSE
2008,Actress -- Supporting Role,Vicky Cristina Barcelona,Penelope Cruz,Maria Elena,TRUE
2008,Actress -- Supporting Role,Doubt,Viola Davis,Mrs. Miller,FALSE
2008,Actress -- Supporting Role,The Curious Case of Benjamin Button,Taraji P. Henson,Queenie,FALSE
2008,Actress -- Supporting Role,The Wrestler,Marisa Tomei,Cassidy,FALSE
2008,Directing,The Curious Case of Benjamin Button,"",,FALSE
2008,Directing,Frost/Nixon,"",,FALSE
2008,Directing,Milk,"",,FALSE
2008,Directing,The Reader,"",,FALSE
2008,Directing,Slumdog Millionaire,"",,TRUE
2007,Actor -- Leading Role,Michael Clayton,George Clooney,Michael Clayton,FALSE
2007,Actor -- Leading Role,There Will Be Blood,Daniel Day-Lewis,Daniel Plainview,TRUE
2007,Actor -- Leading Role,Sweeney Todd The Demon Barber of Fleet Street,Johnny Depp,Sweeney Todd,FALSE
2007,Actor -- Leading Role,In the Valley of Elah,Tommy Lee Jones,Hank Deerfield,FALSE
2007,Actor -- Leading Role,Eastern Promises,Viggo Mortensen,Nikolai,FALSE
2007,Actor -- Supporting Role,The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck,Robert Ford,FALSE
2007,Actor -- Supporting Role,No Country for Old Men,Javier Bardem,Anton Chigurh,TRUE
2007,Actor -- Supporting Role,Charlie Wilson's War,Philip Seymour Hoffman,Gust Avrakotos,FALSE
2007,Actor -- Supporting Role,Into the Wild,Hal Holbrook,Ron Franz,FALSE
2007,Actor -- Supporting Role,Michael Clayton,Tom Wilkinson,Arthur Edens,FALSE
2007,Actress -- Leading Role,Elizabeth: The Golden Age,Cate Blanchett,Queen Elizabeth I,FALSE
2007,Actress -- Leading Role,Away from Her,Julie Christie,Fiona,FALSE
2007,Actress -- Leading Role,La Vie en Rose,Marion Cotillard,Edith Piaf,TRUE
2007,Actress -- Leading Role,The Savages,Laura Linney,Wendy Savage,FALSE
2007,Actress -- Leading Role,Juno,Ellen Page,Juno MacGuff,FALSE
2007,Actress -- Supporting Role,I'm Not There,Cate Blanchett,Jude,FALSE
2007,Actress -- Supporting Role,American Gangster,Ruby Dee,Mama Lucas,FALSE
2007,Actress -- Supporting Role,,Saoirse Ronan,, aged 13'}
2007,Actress -- Supporting Role,Gone Baby Gone,Amy Ryan,Helene McCready,FALSE
2007,Actress -- Supporting Role,Michael Clayton,Tilda Swinton,Karen Crowder,TRUE
2007,Directing,The Diving Bell and the Butterfly,"",,FALSE
2007,Directing,Juno,"",,FALSE
2007,Directing,Michael Clayton,"",,FALSE
2007,Directing,No Country for Old Men,"",,TRUE
2007,Directing,There Will Be Blood,"",,FALSE
2006,Actor -- Leading Role,Blood Diamond,Leonardo DiCaprio,Danny Archer,FALSE
2006,Actor -- Leading Role,Half Nelson,Ryan Gosling,Dan Dunne,FALSE
2006,Actor -- Leading Role,Venus,Peter O'Toole,Maurice,FALSE
2006,Actor -- Leading Role,The Pursuit of Happyness,Will Smith,Chris Gardner,FALSE
2006,Actor -- Leading Role,The Last King of Scotland,Forest Whitaker,Idi Amin,TRUE
2006,Actor -- Supporting Role,Little Miss Sunshine,Alan Arkin,Grandpa,TRUE
2006,Actor -- Supporting Role,Little Children,Jackie Earle Haley,Ronnie J. McGorvey,FALSE
2006,Actor -- Supporting Role,Blood Diamond,Djimon Hounsou,Solomon Vandy,FALSE
2006,Actor -- Supporting Role,Dreamgirls,Eddie Murphy,James 'Thunder' Early,FALSE
2006,Actor -- Supporting Role,The Departed,Mark Wahlberg,Dignam,FALSE
2006,Actress -- Leading Role,Volver,Penelope Cruz,Raimunda,FALSE
2006,Actress -- Leading Role,Notes on a Scandal,Judi Dench,Barbara Covett,FALSE
2006,Actress -- Leading Role,The Queen,Helen Mirren,The Queen,TRUE
2006,Actress -- Leading Role,The Devil Wears Prada,Meryl Streep,Miranda Priestly,FALSE
2006,Actress -- Leading Role,Little Children,Kate Winslet,Sarah Pierce,FALSE
2006,Actress -- Supporting Role,Babel,Adriana Barraza,Amelia,FALSE
2006,Actress -- Supporting Role,Notes on a Scandal,Cate Blanchett,Sheba Hart,FALSE
2006,Actress -- Supporting Role,Little Miss Sunshine,Abigail Breslin,Olive,FALSE
2006,Actress -- Supporting Role,Dreamgirls,Jennifer Hudson,Effie White,TRUE
2006,Actress -- Supporting Role,Babel,Rinko Kikuchi,Chieko,FALSE
2006,Directing,Babel,"",,FALSE
2006,Directing,The Departed,"",,TRUE
2006,Directing,Letters from Iwo Jima,"",,FALSE
2006,Directing,The Queen,"",,FALSE
2006,Directing,United 93,"",,FALSE
2005,Actor -- Leading Role,Capote,Philip Seymour Hoffman,Truman Capote,TRUE
2005,Actor -- Leading Role,Hustle & Flow,Terrence Howard,DJay,FALSE
2005,Actor -- Leading Role,Brokeback Mountain,Heath Ledger,Ennis Del Mar,FALSE
2005,Actor -- Leading Role,Walk the Line,Joaquin Phoenix,John R. Cash,FALSE
2005,Actor -- Leading Role,,David Strathairn,, and Good Luck. {'Edward R. Murrow'}
2005,Actor -- Supporting Role,Syriana,George Clooney,Bob Barnes,TRUE
2005,Actor -- Supporting Role,Crash,Matt Dillon,Officer Ryan,FALSE
2005,Actor -- Supporting Role,Cinderella Man,Paul Giamatti,Joe Gould,FALSE
2005,Actor -- Supporting Role,Brokeback Mountain,Jake Gyllenhaal,Jack Twist,FALSE
2005,Actor -- Supporting Role,A History of Violence,William Hurt,Richie Cusack,FALSE
2005,Actress -- Leading Role,Mrs. Henderson Presents,Judi Dench,Mrs. Laura Henderson,FALSE
2005,Actress -- Leading Role,Transamerica,Felicity Huffman,Bree,FALSE
2005,Actress -- Leading Role,Pride & Prejudice,Keira Knightley,Elizabeth Bennet,FALSE
2005,Actress -- Leading Role,North Country,Charlize Theron,Josey Aimes,FALSE
2005,Actress -- Leading Role,Walk the Line,Reese Witherspoon,June Carter,TRUE
2005,Actress -- Supporting Role,Junebug,Amy Adams,Ashley,FALSE
2005,Actress -- Supporting Role,Capote,Catherine Keener,Nelle Harper Lee,FALSE
2005,Actress -- Supporting Role,North Country,Frances McDormand,Glory,FALSE
2005,Actress -- Supporting Role,The Constant Gardener,Rachel Weisz,Tessa Quayle,TRUE
